longitude\tlatitude\tspeed
-122.679737\t45.505817\t18
-122.68075\t45.506168\t17
-122.68145\t45.506695\t16
-122.68179\t45.507248\t13
-122.681847\t45.507668\t9
-122.681855\t45.507845\t3
-122.681855\t45.507875\t0
-122.681855\t45.507875\t0
-122.68186\t45.507972\t2
-122.681863\t45.508258\t6
-122.681843\t45.508437\t3
-122.68184\t45.508455\t0
-122.681838\t45.508592\t3
-122.6818\t45.508887\t6
-122.681742\t45.50902\t2
-122.6817\t45.5091\t2
-122.681657\t45.509262\t3
-122.681848\t45.509355\t3
-122.68223\t45.509437\t6
-122.682635\t45.509518\t6
-122.683042\t45.509612\t6
-122.683288\t45.509673\t3
-122.68335\t45.509693\t0
-122.683352\t45.509692\t0
-122.683352\t45.509692\t0
-122.683352\t45.509692\t0
-122.683375\t45.509703\t1
-122.683562\t45.50975\t3
-122.683627\t45.509925\t4
-122.683498\t45.51017\t5
-122.68339\t45.510327\t3
-122.683245\t45.51057\t5
-122.683077\t45.51084\t6
-122.683008\t45.510963\t2
-122.682978\t45.51101\t0
-122.682888\t45.51118\t3
-122.682823\t45.511297\t2
-122.682788\t45.511338\t1
-122.682692\t45.511495\t4
-122.682538\t45.511767\t6
-122.682362\t45.512087\t7
-122.682165\t45.512418\t8
-122.681987\t45.512697\t5
-122.681943\t45.51278\t1
-122.681943\t45.51278\t0
-122.681943\t45.51278\t0
(249 rows)
